약국,경도,위도
송파새롬약국,127.1203666,37.4950169
신통한약국,128.3290607,36.1300004
라페센트럴약국,126.7680142,37.6620916
녹원약국,127.1174244,37.513444
메디칼약국,126.9483752,37.4890716
마트존약국,126.4812051,33.48302
천사약국,127.0367067,37.5774463
샘약국,127.0774074,37.6515779
미소약국,127.0807832,37.5644968
덕성온누리약국,127.0127791,37.6012892
기린약국,128.6022876,35.8393923
실로암약국,127.0535649,37.56455
석계태평양약국,127.0634983,37.6146935
햇살약국,126.8894776,37.5105879
대림우리약국,126.8935514,37.4905151
은행나무약국,126.9083608,37.4515803
중앙명성약국,126.9615167,37.5078273
이화태평양약국,127.0382591,37.6392153
목동파라곤약국,126.8752425,37.5299683
새암온누리약국,127.0238352,37.6356641
압구정예주약국,127.0270243,37.5317975
그랜드온누리약국,127.0657671,37.5626145
알파약국,127.1025391,37.5145775
편한약국,126.9678526,37.5257665
엔씨(NC)약국,126.8405062,37.5599572
올리브약국,126.9213852,37.5987018
신세명약국,126.9623927,37.5078889
행복이열리는약국,127.0224541,37.5483587
수정약국,126.903369,37.5187919
은평오렌지약국,126.9193479,37.6357288
피플팜문래약국,126.8964938,37.5174632
아이메디칼약국,127.029956,37.606851
종로수약국,126.9279887,37.4899707
가까운우리약국,126.9166424,37.6346447
뉴욕약국,127.0287237,37.498664
행복약국,126.8935171,37.5377915
서안약국,126.9620171,37.5404798
메디칼우리약국,127.0740647,37.6233742
드림약국,127.0549827,37.6781893
라임약국,126.920671,37.49968
양재뿌리약국,127.0345442,37.4839347
연세희망약국,126.9175499,37.6145489
햇님약국,127.0822923,37.5573511
여의도플러스약국,126.9248993,37.5292711
이화메디약국,126.8969496,37.5254126
이소약국,126.8367634,37.5473848
더참사랑약국,127.0828891,37.5369605
곰돌이스타약국,126.9904493,37.4933691
밝은마음약국,127.027762,37.5240297
망원그랜드약국,126.9098535,37.5559537
나음온누리약국,127.1231362,37.5367954
새빛약국,127.0601763,37.6538336
고덕3층약국,127.1551146,37.5546937
보라매서울약국,126.9242714,37.4921759
해든우리약국,126.9664263,37.5647835
중계상록수약국,127.0760126,37.6508514
아크로약국,126.94898,37.5413405
성모약국,127.0445516,37.5802304
현약국,126.8818627,37.4787416
헤르바당산역약국,126.9021715,37.5337406
세로수길약국,127.0229983,37.5181781
봄봄약국,127.0242171,37.6371305
천호바로약국,127.1240828,37.5398574
아산약국,126.8229134,35.5881474
순창솔약국,127.1403239,35.3769255
건강나라약국,127.1160266,35.825554
복흥건강약국,126.9315919,35.4321655
영진약국,127.1225631,35.8168564
좋은약국,126.9910036,35.9580265
21세기연세약국,127.1360479,37.3799841
더힘약국,127.1209296,35.8670085
봉포약국,128.5600555,38.2564711
미아약국,127.029462,37.6131312
나은약국,126.9417845,37.7175241
새한겨레약국,127.3860841,35.4091657
중앙약국,127.1499493,35.8114002
서울약국,126.8506328,35.5684919
은파약국,126.6988344,35.9588613
믿음약국,126.7136932,35.9596897
일등약국,126.9589704,36.079328
제일약국,127.1409601,35.8448378
늘봄약국,127.0266474,37.522913
타워약국,128.4557781,35.6930813
365칠곡대구제일큰약국,128.5484569,35.9178594
오늘의약국,127.0755262,37.619489
부곡햇살약국,129.0912256,35.2249131
동문 주차장 약국,128.6059194,35.8654449
루이약국,127.0408984,37.5073652
더나은약국,126.8950936,37.5223186
우정약국,129.0428441,35.3590715
보라약국,129.1776778,35.1695768
백제당한약국,127.4312694,36.3316776
밝은약국,127.7093183,34.769703
세교 봄약국,127.0894784,37.0064669
학동역약국,127.0314638,37.5142064
부영약국,126.8955578,35.8037437
동양마트약국,126.7335476,35.9765416
시장약국,127.1418971,35.8240709
동부약국,126.967428,35.9481481
서울약국,127.138258,35.8385784
성심약국,127.1533984,35.8094125
유한약국,126.7312661,35.9757747
바른약국,126.9753927,37.402471
기린약국,127.1044317,35.7985052
구생당약국,127.0557509,37.0816349
명문당약국,126.6583509,37.455385
우리들약국,127.1681508,35.9375157
엘림약국,126.7197872,37.6215174
벧엘약국,126.7053831,37.4724085
연세프라자약국,126.7216543,37.4555385
김재준약국,126.6800283,37.4487761
다사랑약국,126.6630383,37.4419262
대한약국,126.7230288,37.4954433
단비약국,126.7229375,37.4972346
다원약국,127.0288133,37.253458
새시대약국,126.9994302,37.2784025
링컨약국,126.9734144,37.2753253
동진약국,127.0092727,37.2950124
메디신월드약국,127.016098,37.2711896
신촌약국,126.9740977,37.348687
새수정약국,126.9762,37.2157441
장현유명약국,127.1813427,37.7173621
임진강약국,127.0190522,38.0580137
성민약국,127.1237889,37.3883743
바다약국,127.1978861,37.5394321
대성약국,126.7960807,37.3318797
금곡프라자약국,127.1145117,37.3627869
솔약국,126.7267971,37.5183811
계림약국,126.7931924,37.3305028
샘정문약국,126.9477508,37.3589453
참조은약국,126.6744274,37.4585779
애플약국,128.6039954,35.8625816
아라약국,128.8267222,37.8931667
반월화성약국,126.9022106,37.3044685
속편한약국,126.7187316,37.5063211
온누리선우약국,126.8690078,37.4768323
성민메디칼약국,126.6695273,37.5098665
좋은약국,127.1457415,35.8331152
마전메디칼약국,126.6556276,37.6025377
우리온누리약국,126.7146268,37.503328
하나로약국,126.8349888,37.6244151
아이원약국,127.4574423,36.3173001
수원가톨릭약국,127.0265373,37.2763273
